Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Newfoundland and Labrador,Central Health,CT Scan,90th Percentile,2013,Days,71.0
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair,% Meeting Benchmark,2013,Proportion,82.0
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair,50th Percentile,2013,Days,0.79
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair,90th Percentile,2013,Days,2.67
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair,Volume,2013,Number of cases,390.0
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2013,Proportion,85.0
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Days,1.08
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2013,Days,2.12
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,217.0
Provincial,Newfoundland and Labrador,Central Health,Hip Replacement,% Meeting Benchmark,2013,Proportion,92.0
Provincial,Newfoundland and Labrador,Central Health,Hip Replacement,50th Percentile,2013,Days,82.0
Provincial,Newfoundland and Labrador,Central Health,Hip Replacement,90th Percentile,2013,Days,177.0
Provincial,Newfoundland and Labrador,Central Health,Hip Replacement,Volume,2013,Number of cases,243.0
Provincial,Newfoundland and Labrador,Central Health,Knee Replacement,% Meeting Benchmark,2013,Proportion,93.0
Provincial,Newfoundland and Labrador,Central Health,Knee Replacement,50th Percentile,2013,Days,77.0
Provincial,Newfoundland and Labrador,Central Health,Knee Replacement,90th Percentile,2013,Days,170.0
Provincial,Newfoundland and Labrador,Central Health,Knee Replacement,Volume,2013,Number of cases,439.0
Provincial,Newfoundland and Labrador,Central Health,Lung Cancer Surgery,50th Percentile,2013,Days,22.0
Provincial,Newfoundland and Labrador,Central Health,Lung Cancer Surgery,90th Percentile,2013,Days,54.0
Provincial,Newfoundland and Labrador,Central Health,Lung Cancer Surgery,Volume,2013,Number of cases,127.0
Provincial,Newfoundland and Labrador,Central Health,MRI Scan,50th Percentile,2013,Days,48.0
Provincial,Newfoundland and Labrador,Central Health,MRI Scan,90th Percentile,2013,Days,177.5
Provincial,Newfoundland and Labrador,Central Health,Prostate Cancer Surgery,50th Percentile,2013,Days,31.0
Provincial,Newfoundland and Labrador,Central Health,Prostate Cancer Surgery,90th Percentile,2013,Days,53.0
Provincial,Newfoundland and Labrador,Central Health,Prostate Cancer Surgery,Volume,2013,Number of cases,69.0
Provincial,Newfoundland and Labrador,Central Health,Radiation Therapy,% Meeting Benchmark,2013,Proportion,97.0
Provincial,Newfoundland and Labrador,Central Health,Radiation Therapy,50th Percentile,2013,Days,14.0
Provincial,Newfoundland and Labrador,Central Health,Radiation Therapy,90th Percentile,2013,Days,25.0
Provincial,Newfoundland and Labrador,Central Health,Radiation Therapy,Volume,2013,Number of cases,384.0
Provincial,Nova Scotia,Central Zone (N.S.),Bladder Cancer Surgery,50th Percentile,2013,Days,41.0
Provincial,Nova Scotia,Central Zone (N.S.),Bladder Cancer Surgery,90th Percentile,2013,Days,189.0
Provincial,Nova Scotia,Central Zone (N.S.),Bladder Cancer Surgery,Volume,2013,Number of cases,466.0
Provincial,Nova Scotia,Central Zone (N.S.),Breast Cancer Surgery,50th Percentile,2013,Days,16.0
Provincial,Nova Scotia,Central Zone (N.S.),Breast Cancer Surgery,90th Percentile,2013,Days,36.0
Provincial,Nova Scotia,Central Zone (N.S.),Breast Cancer Surgery,Volume,2013,Number of cases,456.0
Provincial,Nova Scotia,Central Zone (N.S.),CABG,50th Percentile,2013,Days,6.0
Provincial,Nova Scotia,Central Zone (N.S.),CABG,90th Percentile,2013,Days,30.0
Provincial,Nova Scotia,Central Zone (N.S.),CABG,Volume,2013,Number of cases,208.0
Provincial,Nova Scotia,Central Zone (N.S.),Cataract surgery,% Meeting Benchmark,2013,Proportion,62.0
Provincial,Nova Scotia,Central Zone (N.S.),Cataract surgery,50th Percentile,2013,Days,93.0
Provincial,Nova Scotia,Central Zone (N.S.),Cataract surgery,90th Percentile,2013,Days,265.0
Provincial,Nova Scotia,Central Zone (N.S.),Cataract surgery,Volume,2013,Number of cases,548.0
Provincial,Nova Scotia,Central Zone (N.S.),Colorectal Cancer Surgery,50th Percentile,2013,Days,24.0
Provincial,Nova Scotia,Central Zone (N.S.),Colorectal Cancer Surgery,90th Percentile,2013,Days,58.0
Provincial,Nova Scotia,Central Zone (N.S.),Colorectal Cancer Surgery,Volume,2013,Number of cases,304.0
Provincial,Nova Scotia,Central Zone (N.S.),CT Scan,50th Percentile,2013,Days,19.0
Provincial,Nova Scotia,Central Zone (N.S.),CT Scan,90th Percentile,2013,Days,64.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair,% Meeting Benchmark,2013,Proportion,82.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair,50th Percentile,2013,Days,0.92
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair,90th Percentile,2013,Days,2.79
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair,Volume,2013,Number of cases,448.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2013,Proportion,80.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Days,1.12
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2013,Days,2.17
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,177.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Replacement,% Meeting Benchmark,2013,Proportion,50.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Replacement,50th Percentile,2013,Days,181.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Replacement,90th Percentile,2013,Days,534.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Replacement,Volume,2013,Number of cases,523.0
Provincial,Nova Scotia,Central Zone (N.S.),Knee Replacement,% Meeting Benchmark,2013,Proportion,36.0
Provincial,Nova Scotia,Central Zone (N.S.),Knee Replacement,50th Percentile,2013,Days,272.0
Provincial,Nova Scotia,Central Zone (N.S.),Knee Replacement,90th Percentile,2013,Days,632.0
Provincial,Nova Scotia,Central Zone (N.S.),Knee Replacement,Volume,2013,Number of cases,846.0
Provincial,Nova Scotia,Central Zone (N.S.),Lung Cancer Surgery,50th Percentile,2013,Days,29.0
Provincial,Nova Scotia,Central Zone (N.S.),Lung Cancer Surgery,90th Percentile,2013,Days,65.0
Provincial,Nova Scotia,Central Zone (N.S.),Lung Cancer Surgery,Volume,2013,Number of cases,100.0
Provincial,Nova Scotia,Central Zone (N.S.),MRI Scan,50th Percentile,2013,Days,44.0
Provincial,Nova Scotia,Central Zone (N.S.),MRI Scan,90th Percentile,2013,Days,137.0
Provincial,Nova Scotia,Central Zone (N.S.),Prostate Cancer Surgery,50th Percentile,2013,Days,51.0
Provincial,Nova Scotia,Central Zone (N.S.),Prostate Cancer Surgery,90th Percentile,2013,Days,98.0
Provincial,Nova Scotia,Central Zone (N.S.),Prostate Cancer Surgery,Volume,2013,Number of cases,102.0
Provincial,Nova Scotia,Central Zone (N.S.),Radiation Therapy,% Meeting Benchmark,2013,Proportion,90.0
Provincial,Nova Scotia,Central Zone (N.S.),Radiation Therapy,50th Percentile,2013,Days,10.0
Provincial,Nova Scotia,Central Zone (N.S.),Radiation Therapy,90th Percentile,2013,Days,28.0
Provincial,Nova Scotia,Central Zone (N.S.),Radiation Therapy,Volume,2013,Number of cases,393.0
Provincial,Ontario,Central East LHIN (Former),Bladder Cancer Surgery,50th Percentile,2013,Days,23.0
Provincial,Ontario,Central East LHIN (Former),Bladder Cancer Surgery,90th Percentile,2013,Days,61.0
Provincial,Ontario,Central East LHIN (Former),Bladder Cancer Surgery,Volume,2013,Number of cases,254.0
Provincial,Ontario,Central East LHIN (Former),Breast Cancer Surgery,50th Percentile,2013,Days,17.0
Provincial,Ontario,Central East LHIN (Former),Breast Cancer Surgery,90th Percentile,2013,Days,36.0
Provincial,Ontario,Central East LHIN (Former),Breast Cancer Surgery,Volume,2013,Number of cases,333.0
Provincial,Ontario,Central East LHIN (Former),CABG,50th Percentile,2013,Days,7.0
Provincial,Ontario,Central East LHIN (Former),CABG,90th Percentile,2013,Days,40.0
Provincial,Ontario,Central East LHIN (Former),CABG,Volume,2013,Number of cases,208.0
Provincial,Ontario,Central East LHIN (Former),Cataract surgery,% Meeting Benchmark,2013,Proportion,81.0
Provincial,Ontario,Central East LHIN (Former),Cataract surgery,50th Percentile,2013,Days,50.0
Provincial,Ontario,Central East LHIN (Former),Cataract surgery,90th Percentile,2013,Days,153.0
Provincial,Ontario,Central East LHIN (Former),Cataract surgery,Volume,2013,Number of cases,548.0
Provincial,Ontario,Central East LHIN (Former),Colorectal Cancer Surgery,50th Percentile,2013,Days,18.0
Provincial,Ontario,Central East LHIN (Former),Colorectal Cancer Surgery,90th Percentile,2013,Days,41.0
Provincial,Ontario,Central East LHIN (Former),Colorectal Cancer Surgery,Volume,2013,Number of cases,237.5
Provincial,Ontario,Central East LHIN (Former),CT Scan,50th Percentile,2013,Days,7.0
Provincial,Ontario,Central East LHIN (Former),CT Scan,90th Percentile,2013,Days,33.0
Provincial,Ontario,Central East LHIN (Former),Hip Fracture Repair,% Meeting Benchmark,2013,Proportion,83.0
Provincial,Ontario,Central East LHIN (Former),Hip Fracture Repair,50th Percentile,2013,Days,1.0
Provincial,Ontario,Central East LHIN (Former),Hip Fracture Repair,90th Percentile,2013,Days,2.67
Provincial,Ontario,Central East LHIN (Former),Hip Fracture Repair,Volume,2013,Number of cases,390.0
Provincial,Ontario,Central East LHIN (Former),Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2013,Proportion,76.0
Provincial,Ontario,Central East LHIN (Former),Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Days,1.21
Provincial,Ontario,Central East LHIN (Former),Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2013,Days,2.92
Provincial,Ontario,Central East LHIN (Former),Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,177.0
Provincial,Ontario,Central East LHIN (Former),Hip Replacement,% Meeting Benchmark,2013,Proportion,89.0
Provincial,Ontario,Central East LHIN (Former),Hip Replacement,50th Percentile,2013,Days,70.0
Provincial,Ontario,Central East LHIN (Former),Hip Replacement,90th Percentile,2013,Days,188.0
Provincial,Ontario,Central East LHIN (Former),Hip Replacement,Volume,2013,Number of cases,239.0
Provincial,Ontario,Central East LHIN (Former),Knee Replacement,% Meeting Benchmark,2013,Proportion,85.0
Provincial,Ontario,Central East LHIN (Former),Knee Replacement,50th Percentile,2013,Days,79.0
Provincial,Ontario,Central East LHIN (Former),Knee Replacement,90th Percentile,2013,Days,216.0
Provincial,Ontario,Central East LHIN (Former),Knee Replacement,Volume,2013,Number of cases,294.0
Provincial,Ontario,Central East LHIN (Former),Lung Cancer Surgery,50th Percentile,2013,Days,19.0
Provincial,Ontario,Central East LHIN (Former),Lung Cancer Surgery,90th Percentile,2013,Days,36.0
Provincial,Ontario,Central East LHIN (Former),Lung Cancer Surgery,Volume,2013,Number of cases,127.0
Provincial,Ontario,Central East LHIN (Former),MRI Scan,50th Percentile,2013,Days,23.0
Provincial,Ontario,Central East LHIN (Former),MRI Scan,90th Percentile,2013,Days,60.0
Provincial,Ontario,Central East LHIN (Former),Prostate Cancer Surgery,50th Percentile,2013,Days,35.0
Provincial,Ontario,Central East LHIN (Former),Prostate Cancer Surgery,90th Percentile,2013,Days,84.0
Provincial,Ontario,Central East LHIN (Former),Prostate Cancer Surgery,Volume,2013,Number of cases,101.0
Provincial,Ontario,Central East LHIN (Former),Radiation Therapy,% Meeting Benchmark,2013,Proportion,98.0
Provincial,Ontario,Central East LHIN (Former),Radiation Therapy,50th Percentile,2013,Days,6.0
Provincial,Ontario,Central East LHIN (Former),Radiation Therapy,90th Percentile,2013,Days,14.0
Provincial,Ontario,Central East LHIN (Former),Radiation Therapy,Volume,2013,Number of cases,393.0
Provincial,Prince Edward Island,Health PEI,Bladder Cancer Surgery,50th Percentile,2013,Days,24.0
Provincial,Prince Edward Island,Health PEI,Bladder Cancer Surgery,90th Percentile,2013,Days,67.0
Provincial,Prince Edward Island,Health PEI,Bladder Cancer Surgery,Volume,2013,Number of cases,41.0
Provincial,Prince Edward Island,Health PEI,Breast Cancer Surgery,50th Percentile,2013,Days,18.0
Provincial,Prince Edward Island,Health PEI,Breast Cancer Surgery,90th Percentile,2013,Days,35.0
Provincial,Prince Edward Island,Health PEI,Breast Cancer Surgery,Volume,2013,Number of cases,46.0
Provincial,Prince Edward Island,Health PEI,CABG,50th Percentile,2013,Days,7.0
Provincial,Prince Edward Island,Health PEI,CABG,90th Percentile,2013,Days,67.5
Provincial,Prince Edward Island,Health PEI,CABG,Volume,2013,Number of cases,208.0
Provincial,Prince Edward Island,Health PEI,Cataract surgery,% Meeting Benchmark,2013,Proportion,53.0
Provincial,Prince Edward Island,Health PEI,Cataract surgery,50th Percentile,2013,Days,98.0
Provincial,Prince Edward Island,Health PEI,Cataract surgery,90th Percentile,2013,Days,241.0
Provincial,Prince Edward Island,Health PEI,Cataract surgery,Volume,2013,Number of cases,539.0
Provincial,Prince Edward Island,Health PEI,Colorectal Cancer Surgery,50th Percentile,2013,Days,20.0
Provincial,Prince Edward Island,Health PEI,Colorectal Cancer Surgery,90th Percentile,2013,Days,44.0
Provincial,Prince Edward Island,Health PEI,Colorectal Cancer Surgery,Volume,2013,Number of cases,48.0
Provincial,Prince Edward Island,Health PEI,CT Scan,50th Percentile,2013,Days,23.0
Provincial,Prince Edward Island,Health PEI,CT Scan,90th Percentile,2013,Days,45.0
Provincial,Prince Edward Island,Health PEI,Hip Fracture Repair,% Meeting Benchmark,2013,Proportion,75.0
Provincial,Prince Edward Island,Health PEI,Hip Fracture Repair,50th Percentile,2013,Days,1.29
Provincial,Prince Edward Island,Health PEI,Hip Fracture Repair,90th Percentile,2013,Days,3.12
Provincial,Prince Edward Island,Health PEI,Hip Fracture Repair,Volume,2013,Number of cases,99.0
Provincial,Prince Edward Island,Health PEI,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2013,Proportion,80.0
Provincial,Prince Edward Island,Health PEI,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Days,0.96
Provincial,Prince Edward Island,Health PEI,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2013,Days,2.67
Provincial,Prince Edward Island,Health PEI,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,81.0
Provincial,Prince Edward Island,Health PEI,Hip Replacement,% Meeting Benchmark,2013,Proportion,80.0
Provincial,Prince Edward Island,Health PEI,Hip Replacement,50th Percentile,2013,Days,121.0
Provincial,Prince Edward Island,Health PEI,Hip Replacement,90th Percentile,2013,Days,252.0
Provincial,Prince Edward Island,Health PEI,Hip Replacement,Volume,2013,Number of cases,78.0
Provincial,Prince Edward Island,Health PEI,Knee Replacement,% Meeting Benchmark,2013,Proportion,61.0
Provincial,Prince Edward Island,Health PEI,Knee Replacement,50th Percentile,2013,Days,148.0
Provincial,Prince Edward Island,Health PEI,Knee Replacement,90th Percentile,2013,Days,324.0
Provincial,Prince Edward Island,Health PEI,Knee Replacement,Volume,2013,Number of cases,173.0
Provincial,Prince Edward Island,Health PEI,Lung Cancer Surgery,50th Percentile,2013,Days,22.0
Provincial,Prince Edward Island,Health PEI,Lung Cancer Surgery,90th Percentile,2013,Days,54.0
Provincial,Prince Edward Island,Health PEI,Lung Cancer Surgery,Volume,2013,Number of cases,127.0
Provincial,Prince Edward Island,Health PEI,MRI Scan,50th Percentile,2013,Days,58.0
Provincial,Prince Edward Island,Health PEI,MRI Scan,90th Percentile,2013,Days,135.0
Provincial,Prince Edward Island,Health PEI,Prostate Cancer Surgery,50th Percentile,2013,Days,54.0
Provincial,Prince Edward Island,Health PEI,Prostate Cancer Surgery,90th Percentile,2013,Days,77.0
Provincial,Prince Edward Island,Health PEI,Prostate Cancer Surgery,Volume,2013,Number of cases,7.0
Provincial,Prince Edward Island,Health PEI,Radiation Therapy,% Meeting Benchmark,2013,Proportion,92.0
Provincial,Prince Edward Island,Health PEI,Radiation Therapy,50th Percentile,2013,Days,15.0
Provincial,Prince Edward Island,Health PEI,Radiation Therapy,90th Percentile,2013,Days,28.0
Provincial,Prince Edward Island,Health PEI,Radiation Therapy,Volume,2013,Number of cases,216.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Bladder Cancer Surgery,50th Percentile,2013,Days,28.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Bladder Cancer Surgery,90th Percentile,2013,Days,63.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Bladder Cancer Surgery,Volume,2013,Number of cases,254.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Breast Cancer Surgery,50th Percentile,2013,Days,20.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Breast Cancer Surgery,90th Percentile,2013,Days,54.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Breast Cancer Surgery,Volume,2013,Number of cases,333.0
Provincial,Quebec,Abitibi-Témiscamingue Region,CABG,50th Percentile,2013,Days,7.0
Provincial,Quebec,Abitibi-Témiscamingue Region,CABG,90th Percentile,2013,Days,67.5
Provincial,Quebec,Abitibi-Témiscamingue Region,CABG,Volume,2013,Number of cases,208.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Cataract surgery,% Meeting Benchmark,2013,Proportion,88.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Cataract surgery,50th Percentile,2013,Days,31.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Cataract surgery,90th Percentile,2013,Days,126.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Cataract surgery,Volume,2013,Number of cases,548.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Colorectal Cancer Surgery,50th Percentile,2013,Days,20.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Colorectal Cancer Surgery,90th Percentile,2013,Days,50.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Colorectal Cancer Surgery,Volume,2013,Number of cases,237.5
Provincial,Quebec,Abitibi-Témiscamingue Region,CT Scan,50th Percentile,2013,Days,19.5
Provincial,Quebec,Abitibi-Témiscamingue Region,CT Scan,90th Percentile,2013,Days,71.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Fracture Repair,% Meeting Benchmark,2013,Proportion,84.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Fracture Repair,50th Percentile,2013,Days,0.96
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Fracture Repair,90th Percentile,2013,Days,2.5
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Fracture Repair,Volume,2013,Number of cases,390.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2013,Proportion,80.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Days,1.12
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2013,Days,2.17
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,177.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Replacement,% Meeting Benchmark,2013,Proportion,81.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Replacement,50th Percentile,2013,Days,85.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Replacement,90th Percentile,2013,Days,239.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Hip Replacement,Volume,2013,Number of cases,239.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Knee Replacement,% Meeting Benchmark,2013,Proportion,78.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Knee Replacement,50th Percentile,2013,Days,96.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Knee Replacement,90th Percentile,2013,Days,258.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Knee Replacement,Volume,2013,Number of cases,294.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Lung Cancer Surgery,50th Percentile,2013,Days,20.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Lung Cancer Surgery,90th Percentile,2013,Days,62.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Lung Cancer Surgery,Volume,2013,Number of cases,127.0
Provincial,Quebec,Abitibi-Témiscamingue Region,MRI Scan,50th Percentile,2013,Days,48.0
Provincial,Quebec,Abitibi-Témiscamingue Region,MRI Scan,90th Percentile,2013,Days,177.5
Provincial,Quebec,Abitibi-Témiscamingue Region,Prostate Cancer Surgery,50th Percentile,2013,Days,39.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Prostate Cancer Surgery,90th Percentile,2013,Days,89.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Prostate Cancer Surgery,Volume,2013,Number of cases,101.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Radiation Therapy,% Meeting Benchmark,2013,Proportion,98.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Radiation Therapy,50th Percentile,2013,Days,9.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Radiation Therapy,90th Percentile,2013,Days,22.0
Provincial,Quebec,Abitibi-Témiscamingue Region,Radiation Therapy,Volume,2013,Number of cases,393.0
Provincial,Saskatchewan,Far North Zone,Bladder Cancer Surgery,50th Percentile,2013,Days,16.0
Provincial,Saskatchewan,Far North Zone,Bladder Cancer Surgery,90th Percentile,2013,Days,34.0
Provincial,Saskatchewan,Far North Zone,Bladder Cancer Surgery,Volume,2013,Number of cases,229.0
Provincial,Saskatchewan,Far North Zone,Breast Cancer Surgery,50th Percentile,2013,Days,17.0
Provincial,Saskatchewan,Far North Zone,Breast Cancer Surgery,90th Percentile,2013,Days,47.0
Provincial,Saskatchewan,Far North Zone,Breast Cancer Surgery,Volume,2013,Number of cases,344.0
Provincial,Saskatchewan,Far North Zone,CABG,50th Percentile,2013,Days,3.0
Provincial,Saskatchewan,Far North Zone,CABG,90th Percentile,2013,Days,19.0
Provincial,Saskatchewan,Far North Zone,CABG,Volume,2013,Number of cases,253.0
Provincial,Saskatchewan,Far North Zone,Cataract surgery,% Meeting Benchmark,2013,Proportion,70.0
Provincial,Saskatchewan,Far North Zone,Cataract surgery,50th Percentile,2013,Days,67.0
Provincial,Saskatchewan,Far North Zone,Cataract surgery,90th Percentile,2013,Days,179.0
Provincial,Saskatchewan,Far North Zone,Cataract surgery,Volume,2013,Number of cases,548.0
Provincial,Saskatchewan,Far North Zone,Colorectal Cancer Surgery,50th Percentile,2013,Days,14.0
Provincial,Saskatchewan,Far North Zone,Colorectal Cancer Surgery,90th Percentile,2013,Days,35.0
Provincial,Saskatchewan,Far North Zone,Colorectal Cancer Surgery,Volume,2013,Number of cases,282.0
Provincial,Saskatchewan,Far North Zone,CT Scan,50th Percentile,2013,Days,13.0
Provincial,Saskatchewan,Far North Zone,CT Scan,90th Percentile,2013,Days,51.0
Provincial,Saskatchewan,Far North Zone,Hip Fracture Repair,% Meeting Benchmark,2013,Proportion,82.0
Provincial,Saskatchewan,Far North Zone,Hip Fracture Repair,50th Percentile,2013,Days,1.0
Provincial,Saskatchewan,Far North Zone,Hip Fracture Repair,90th Percentile,2013,Days,2.79
Provincial,Saskatchewan,Far North Zone,Hip Fracture Repair,Volume,2013,Number of cases,424.0
Provincial,Saskatchewan,Far North Zone,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2013,Proportion,80.0
Provincial,Saskatchewan,Far North Zone,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Days,1.12
Provincial,Saskatchewan,Far North Zone,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2013,Days,2.17
Provincial,Saskatchewan,Far North Zone,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,177.0
Provincial,Saskatchewan,Far North Zone,Hip Replacement,% Meeting Benchmark,2013,Proportion,77.0
Provincial,Saskatchewan,Far North Zone,Hip Replacement,50th Percentile,2013,Days,99.0
Provincial,Saskatchewan,Far North Zone,Hip Replacement,90th Percentile,2013,Days,243.0
Provincial,Saskatchewan,Far North Zone,Hip Replacement,Volume,2013,Number of cases,782.0
Provincial,Saskatchewan,Far North Zone,Knee Replacement,% Meeting Benchmark,2013,Proportion,66.0
Provincial,Saskatchewan,Far North Zone,Knee Replacement,50th Percentile,2013,Days,128.0
Provincial,Saskatchewan,Far North Zone,Knee Replacement,90th Percentile,2013,Days,354.0
Provincial,Saskatchewan,Far North Zone,Knee Replacement,Volume,2013,Number of cases,294.0
Provincial,Saskatchewan,Far North Zone,Lung Cancer Surgery,50th Percentile,2013,Days,7.0
Provincial,Saskatchewan,Far North Zone,Lung Cancer Surgery,90th Percentile,2013,Days,20.0
Provincial,Saskatchewan,Far North Zone,Lung Cancer Surgery,Volume,2013,Number of cases,72.0
Provincial,Saskatchewan,Far North Zone,MRI Scan,50th Percentile,2013,Days,28.0
Provincial,Saskatchewan,Far North Zone,MRI Scan,90th Percentile,2013,Days,88.0
Provincial,Saskatchewan,Far North Zone,Prostate Cancer Surgery,50th Percentile,2013,Days,51.0
Provincial,Saskatchewan,Far North Zone,Prostate Cancer Surgery,90th Percentile,2013,Days,136.0
Provincial,Saskatchewan,Far North Zone,Prostate Cancer Surgery,Volume,2013,Number of cases,108.0
Provincial,Saskatchewan,Far North Zone,Radiation Therapy,% Meeting Benchmark,2013,Proportion,98.0
Provincial,Saskatchewan,Far North Zone,Radiation Therapy,50th Percentile,2013,Days,5.0
Provincial,Saskatchewan,Far North Zone,Radiation Therapy,90th Percentile,2013,Days,15.0
Provincial,Saskatchewan,Far North Zone,Radiation Therapy,Volume,2013,Number of cases,393.0
Provincial,Alberta,Calgary Zone,Bladder Cancer Surgery,50th Percentile,2014,Days,29.0
Provincial,Alberta,Calgary Zone,Bladder Cancer Surgery,90th Percentile,2014,Days,64.0
Provincial,Alberta,Calgary Zone,Bladder Cancer Surgery,Volume,2014,Number of cases,488.0
Provincial,Alberta,Calgary Zone,Breast Cancer Surgery,50th Percentile,2014,Days,20.0
Provincial,Alberta,Calgary Zone,Breast Cancer Surgery,90th Percentile,2014,Days,47.0
Provincial,Alberta,Calgary Zone,Breast Cancer Surgery,Volume,2014,Number of cases,333.0
Provincial,Alberta,Calgary Zone,CABG,50th Percentile,2014,Days,6.0
Provincial,Alberta,Calgary Zone,CABG,90th Percentile,2014,Days,60.0
Provincial,Alberta,Calgary Zone,CABG,Volume,2014,Number of cases,542.0
Provincial,Alberta,Calgary Zone,Cataract surgery,% Meeting Benchmark,2014,Proportion,71.0
Provincial,Alberta,Calgary Zone,Cataract surgery,50th Percentile,2014,Days,73.0
Provincial,Alberta,Calgary Zone,Cataract surgery,90th Percentile,2014,Days,202.0
Provincial,Alberta,Calgary Zone,Cataract surgery,Volume,2014,Number of cases,548.0
Provincial,Alberta,Calgary Zone,Colorectal Cancer Surgery,50th Percentile,2014,Days,24.0
Provincial,Alberta,Calgary Zone,Colorectal Cancer Surgery,90th Percentile,2014,Days,56.0
Provincial,Alberta,Calgary Zone,Colorectal Cancer Surgery,Volume,2014,Number of cases,518.0
Provincial,Alberta,Calgary Zone,CT Scan,50th Percentile,2014,Days,12.0
